job title,job link
"Senior Operations Executive, Supply Chain Inventory Management",https://in.linkedin.com/jobs/view/senior-operations-executive-supply-chain-inventory-management-at-amazon-3037989690?refId=JNov1x38KiyqKYGbClXC7w%3D%3D&trackingId=YJIdUQmfeXA91Uuq%2BgglCQ%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
Software Development Engineer Intern,https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-amazon-3056178845?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=RHyZxy8zwRHoxxIkOMfpBg%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
Process Analyst,https://in.linkedin.com/jobs/view/process-analyst-at-amazon-3033065662?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=C0XhEAtnYgePn6yduLZxng%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
"Brand Specialist, IN Shoes",https://in.linkedin.com/jobs/view/brand-specialist-in-shoes-at-amazon-3026342948?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=488gN88zhuQg4zku1ZDOYg%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
Software Development Engineer Intern,https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-amazon-3056184123?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=6%2F%2Fj4j%2FQAmb8sxdgngIhSA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
Team Lead,https://in.linkedin.com/jobs/view/team-lead-at-amazon-3037987997?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=jOgOG2pogcSmPwOnQ%2BDm4w%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
"Brand Specialist, Home",https://in.linkedin.com/jobs/view/brand-specialist-home-at-amazon-3037987791?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=B6lJSy2TDYUxGH8zE%2BuPHQ%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
"Account Manager, Amazon Business Advisory",https://in.linkedin.com/jobs/view/account-manager-amazon-business-advisory-at-amazon-3032786052?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=nRelHjLKnDryyxgFvxUgiw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
Production Planning Analyst,https://in.linkedin.com/jobs/view/production-planning-analyst-at-amazon-3036333389?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=Qsa%2BZ27BCaQjcDJoCElbPA%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
"Brand Specialist, Home",https://in.linkedin.com/jobs/view/brand-specialist-home-at-amazon-3046896921?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=XhDNDwmKmuoUgeH3ZGeDrg%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
"Manager I , Account Management, EU SSRM",https://in.linkedin.com/jobs/view/manager-i-account-management-eu-ssrm-at-amazon-3039359235?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=Cq0cRbED8R%2BfjWN6dGILzg%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
Software Development Engineer Intern,https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-amazon-3056179168?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=Nq92cdnjPSVQEjUSbDoqYw%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
Team Lead (Intern),https://in.linkedin.com/jobs/view/team-lead-intern-at-amazon-3046895907?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=wK3ijU45el6ZjBChBmrm0A%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
"Sales Associate, Seller Affiliates, NLS",https://in.linkedin.com/jobs/view/sales-associate-seller-affiliates-nls-at-amazon-3036331576?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=d1Ga9FoVOwYa60d0ts3xjA%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
"Category Manager, Kitchen",https://in.linkedin.com/jobs/view/category-manager-kitchen-at-amazon-3030993068?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=tIEQKlso3ciE0GcP0shOLg%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
"Creator Marketing, Events, Amazon Shopping Video Creator Partnerships",https://www.linkedin.com/jobs/view/creator-marketing-events-amazon-shopping-video-creator-partnerships-at-amazon-3028735110?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=hn6wsOoyLBMcD7pmvKs6Xg%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
Software Development Engineer Intern,https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-amazon-3044657082?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=r42ULrvT6tVjs1NAZwny1Q%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Software Development Engineer Intern,https://in.linkedin.com/jobs/view/software-development-engineer-intern-at-amazon-3056182139?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=AKCOKdl4sv9ZIoX5qJBwWw%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
Publicity Coordinator,https://www.linkedin.com/jobs/view/publicity-coordinator-at-amazon-3032754611?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=aZ7vLFGOOUWH5PJijfpwFA%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
"Business Analyst, Amazon Pharmacy S&OP",https://www.linkedin.com/jobs/view/business-analyst-amazon-pharmacy-s-op-at-amazon-3040318769?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=SxMGxwlUAxFhA6PtnSzwKQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
"Account Manager, Leads Management – Job Description",https://in.linkedin.com/jobs/view/account-manager-leads-management-%E2%80%93-job-description-at-amazon-3056767616?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=indD703ET7PQVCxsrYwlJA%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
"Executive Assistant, Campaign & Creative Services",https://www.linkedin.com/jobs/view/executive-assistant-campaign-creative-services-at-amazon-3057225596?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=bRYHvAoJp3p45Q41G4lphg%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
"Business Analyst, Amazon Fresh, Amazon Fresh",https://www.linkedin.com/jobs/view/business-analyst-amazon-fresh-amazon-fresh-at-amazon-3057230329?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=uUWs08NxaCspd6fyxrmmOw%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
Team Lead,https://in.linkedin.com/jobs/view/team-lead-at-amazon-3056772461?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=2KoSUUXsAGd88ww9O8N%2B2A%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
"Sales Associate, Seller Affiliates, NLS",https://in.linkedin.com/jobs/view/sales-associate-seller-affiliates-nls-at-amazon-3036334354?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=F4AxqLyvNI2ZK5FEXhTPCg%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
"Music Coordinator, UK, Amazon Studios",https://uk.linkedin.com/jobs/view/music-coordinator-uk-amazon-studios-at-amazon-3040321173?refId=1KZ%2Fhy70tEqQbRz03QGilw%3D%3D&trackingId=RGSoZNj8oerHRQrqc7PBHg%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
"Central Ops Executive , Central Operations Executive",https://in.linkedin.com/jobs/view/central-ops-executive-central-operations-executive-at-amazon-3056177969?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=JMy3omGL%2BX4bL%2BoCGskWfQ%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
Software Development Engineer Internship - Fall 2022 (US),https://www.linkedin.com/jobs/view/software-development-engineer-internship-fall-2022-us-at-amazon-3057230236?refId=06I7YoUOo%2FS%2FJ2V95XK2eA%3D%3D&trackingId=YLyYhVqXDfu40JYc3PJg6w%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
